tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG02-12	TG02	TG02-12	TG02-12:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	9.000e-02	T		u	0.0	202.0	l	22.3	1.9	2	-1
	This study	Timbavati	TG02-12	TG02	TG02-12	TG02-12:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	9.000e-02	T		u	0.0	202.0	l	22.3	1.9	2	0
	This study	Timbavati	TG02-12	TG02	TG02-12	TG02-12:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	9.000e-02	T		u	0.0	202.0	l	22.3	1.9	2	100
	This study	Timbavati	TG02-2	TG02	TG02-2	TG02-2:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	189.7	l	7.9	0.7	3	-1
	This study	Timbavati	TG02-2	TG02	TG02-2	TG02-2:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	189.7	l	7.9	0.7	3	0
	This study	Timbavati	TG02-2	TG02	TG02-2	TG02-2:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	189.7	l	7.9	0.7	3	100
	This study	Timbavati	TG02-3	TG02	TG02-3	TG02-3:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	153.6	l	11.4	1.1	3	-1
	This study	Timbavati	TG02-3	TG02	TG02-3	TG02-3:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	153.6	l	11.4	1.1	3	0
	This study	Timbavati	TG02-3	TG02	TG02-3	TG02-3:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	153.6	l	11.4	1.1	3	100
	This study	Timbavati	TG02-4	TG02	TG02-4	TG02-4:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.7	l	9.5	1.2	3	-1
	This study	Timbavati	TG02-4	TG02	TG02-4	TG02-4:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.7	l	9.5	1.2	3	0
	This study	Timbavati	TG02-4	TG02	TG02-4	TG02-4:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	1.000e-01	8.000e-02	T		u	0.0	192.7	l	9.5	1.2	3	100
