tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	sample_azimuth
This study	JP34-4	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP34-5	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP34-6	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP34-7	JP34	Botswana	intrusive	Dolerite	sill	-23	26.5	0	210.0	15.0	SO-NO	0
This study	JP4-1	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP4-2	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP4-3	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP4-4	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP4-5	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP4-6	JP4	Botswana	intrusive	Dolerite	sill	-24.8	25.7	0	193.0	9.0	SO-NO	0
This study	JP5B-1	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	151.0	5.0	SO-NO	0
This study	JP5B-2	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	154.5	4.9	SO-NO	0
This study	JP5B-3	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	151.0	5.0	SO-NO	0
This study	JP5B-4	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	150.9	5.0	SO-NO	0
This study	JP5B-5	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	151.0	5.0	SO-NO	0
This study	JP5B-6	JP5B	Botswana	intrusive	Dolerite	sill	-24.7	25.7	0	151.0	5.0	SO-NO	0
