tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:32:38.00	222.5670403	g	-6.889146429	5.32E-07	1206069	1.267	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:32:54.00	232.4537403	g	-7.750543889	2.78E-07	1206070	1.467	u		0.015		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:36:40.00	74.51247474	g	16.89369452	2.06E-07	1206071	0.067	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:36:55.00	-269.9685988	g	27.80250457	2.40E-07	1206072	0.267	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:37:10.00	74.22302698	g	2.78491293	3.19E-07	1206073	0.467	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:37:25.00	-261.0983616	g	15.15903932	2.19E-07	1206074	0.667	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:37:40.00	229.4710798	g	15.35550859	2.21E-07	1206075	0.867	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:37:56.00	260.2040634	g	23.25810546	2.05E-07	1206076	1.067	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:38:11.00	221.1602116	g	0.341919038	3.19E-07	1206077	1.267	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:38:26.00	228.1121825	g	5.8483406	1.77E-07	1206078	1.467	u		0.02		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:42:17.00	83.68689559	g	34.10888223	1.34E-07	1206079	0.067	u		0.025		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:42:32.00	-255.8899293	g	33.46890693	2.00E-07	1206080	0.267	u		0.025		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:42:47.00	77.64994617	g	8.488735494	1.87E-07	1206081	0.467	u		0.025		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:43:02.00	-252.92961	g	25.00550732	1.28E-07	1206082	0.667	u		0.025		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:43:17.00	237.8315763	g	21.02215213	1.43E-07	1206083	0.867	u		0.025		
