tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW24-11a	PW24-11	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0046999	Botswana 2012
This study	PW24-12a	PW24-12	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047619	Botswana 2012
This study	PW24-13a	PW24-13	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0049558	Botswana 2012
This study	PW24-14a	PW24-14	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0047386	Botswana 2012
This study	PW24-7a	PW24-7	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048945	Botswana 2012
This study	PW24-8a	PW24-8	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0052384	Botswana 2012
This study	PW24-9a	PW24-9	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	0.0043791	Botswana 2012
This study	PW24-10b	PW24-10	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-11b	PW24-11	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-12b	PW24-12	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-7b	PW24-7	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-8b	PW24-8	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW24-9b	PW24-9	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW25-10a	PW25-10	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0051228	Botswana 2012
This study	PW25-11a	PW25-11	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054464	Botswana 2012
This study	PW25-1a	PW25-1	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0048877	Botswana 2012
This study	PW25-2a	PW25-2	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0052996	Botswana 2012
This study	PW25-3a	PW25-3	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054244	Botswana 2012
This study	PW25-4a	PW25-4	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0054715	Botswana 2012
This study	PW25-8a	PW25-8	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0055951	Botswana 2012
This study	PW25-9a	PW25-9	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	0.0051777	Botswana 2012
This study	PW25-1b	PW25-1	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW25-2b	PW25-2	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW25-3b	PW25-3	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW25-4b	PW25-4	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW25-8b	PW25-8	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
