tab 	magic_measurements																										
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_positions	measurement_standard	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:24:16.00	-2.558757576		g	37.95365046	1.26E-07	1174652	0.667		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:24:31.00	22.97732715		g	24.4910372	4.04E-06	1174653	0.867		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:24:46.00	-6.562881277		g	24.31831134	4.22E-06	1174654	1.067		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:25:02.00	-3.26241978		g	28.76691493	2.56E-06	1174655	1.267		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:25:17.00	-14.75286888		g	43.37289387	1.45E-07	1174656	1.467		u					0.02		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:29:08.00	51.51634299		g	10.93502862	5.26E-07	1174658	0.067		u					0.025		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:29:23.00	57.35437084		g	6.451313961	1.05E-06	1174659	0.267		u					0.025		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:29:38.00	-7.377257931		g	43.78757645	1.44E-06	1174660	0.467		u					0.025		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:29:53.00	-6.779438881		g	41.25219887	1.08E-07	1174661	0.667		u					0.025		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:30:08.00	25.23828914		g	23.19750892	2.49E-06	1174662	0.867		u					0.025		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:30:23.00	-4.732157769		g	25.73718125	2.59E-06	1174663	1.067		u					0.025		
