tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-2	pmag core	Sill	199.80	Botswana	Botswana 2012	-24.1803	-3	0	25.69	Intrusive
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-3	pmag core	Sill	351.10	Botswana	Botswana 2012	-24.1803	-39	0	25.69	Intrusive
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-4	pmag core	Sill	353.20	Botswana	Botswana 2012	-24.1803	-37	0	25.69	Intrusive
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-5	pmag core	Sill	157.50	Botswana	Botswana 2012	-24.1803	-71	0	25.69	Intrusive
0.00	This study	Dolerite	Mogatelwane 2 Sill	PW17-6	pmag core	Sill	159.60	Botswana	Botswana 2012	-24.1803	-75	0	25.69	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-1	pmag core	Sill	351.60	Botswana	Botswana 2012	-24.3762	-26	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-10	pmag core	Sill	201.30	Botswana	Botswana 2012	-24.3762	-8	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-11	pmag core	Sill	33.50	Botswana	Botswana 2012	-24.3762	-39	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-12	pmag core	Sill	47.10	Botswana	Botswana 2012	-24.3762	-23	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-13	pmag core	Sill	54.50	Botswana	Botswana 2012	-24.3762	-12	4	25.47	Intrusive
